name,lat,lon,timeBound,budget,importance,quality,area,profit,length,time,status
sel,58.5658,16.3701,5,100000,0.5,0.00196276,0,392.551,99822.6,1,1
ilp,58.5658,16.3701,5,100000,0.5,-1,-1,-1,-1,9412,3
jog,58.5658,16.3701,5,100000,0.5,-1,-1,-1,-1,367,2
ils,58.5658,16.3701,5,100000,0.5,-1,-1,-1,-1,367,2
sel,58.5658,16.3701,5,100000,1,0,0,392.551,99822.6,0,1
ilp,58.5658,16.3701,5,100000,1,-1,-1,-1,-1,7051,3
jog,58.5658,16.3701,5,100000,1,-1,-1,-1,-1,341,2
ils,58.5658,16.3701,5,100000,1,-1,-1,-1,-1,341,2
sel,58.6866,16.0975,5,1000,0,0.432005,5.82077e-11,432.005,996.232,0,1
ilp,58.6866,16.0975,5,1000,0,-1,-1,-1,-1,7287,3
jog,58.6866,16.0975,5,1000,0,1.29315,-9.31323e-10,1293.15,2586.3,0,1
ils,58.6866,16.0975,5,1000,0,2.53283,163626,2532.83,2532.83,5000,1
sel,58.6866,16.0975,5,1000,0.5,0.242831,0,485.662,971.324,0,1
ilp,58.6866,16.0975,5,1000,0.5,-1,-1,-1,-1,7240,3
jog,58.6866,16.0975,5,1000,0.5,0.646574,-9.31323e-10,1293.15,2586.3,0,1
ils,58.6866,16.0975,5,1000,0.5,1.29246,163626,2532.83,2532.83,5000,1
sel,58.6866,16.0975,5,1000,1,0,0,485.662,971.324,0,1
ilp,58.6866,16.0975,5,1000,1,-1,-1,-1,-1,7204,3
jog,58.6866,16.0975,5,1000,1,-1.85281e-17,-5.82077e-11,1293.15,2586.3,0,1
ils,58.6866,16.0975,5,1000,1,0.00879635,27634.6,1680.6,2488.09,5000,1
sel,58.6866,16.0975,5,2500,0,0.368028,0,920.071,2457.18,0,1
ilp,58.6866,16.0975,5,2500,0,-1,-1,-1,-1,7315,3
jog,58.6866,16.0975,5,2500,0,1.47347,-235815,3683.69,3683.69,0,1
ils,58.6866,16.0975,5,2500,0,1.47347,-235815,3683.69,3683.69,5000,1
sel,58.6866,16.0975,5,2500,0.5,0.184014,0,920.071,2457.18,0,1
ilp,58.6866,16.0975,5,2500,0.5,-1,-1,-1,-1,7298,3
